,subject_id,session_id,sociability,spikes_AA_2-during_imputed,lfp_MeA_30-80Hz_2-during_imputed,coherence_MePV-MeD_30-80Hz_3-after_imputed,lfp_CeA_30-80Hz_4-change-during_imputed,lfp_STIA_12-30Hz_4-change-during_imputed,spikes_AA_3-after_imputed,coherence_STIA-CeA_12-30Hz_4-change-during_imputed,coherence_CeA-MeD_30-80Hz_5-change-after_imputed,coherence_CeA-AA_30-80Hz_5-change-after_imputed,coherence_CeA-MeD_30-80Hz_1-before_imputed,spikes_AA_2-during_scaled,lfp_MeA_30-80Hz_2-during_scaled,coherence_MePV-MeD_30-80Hz_3-after_scaled,lfp_CeA_30-80Hz_4-change-during_scaled,lfp_STIA_12-30Hz_4-change-during_scaled,spikes_AA_3-after_scaled,coherence_STIA-CeA_12-30Hz_4-change-during_scaled,coherence_CeA-MeD_30-80Hz_5-change-after_scaled,coherence_CeA-AA_30-80Hz_5-change-after_scaled,coherence_CeA-MeD_30-80Hz_1-before_scaled,embed_supervised1,embed_supervised2,embed1,embed2,embed_scaled_supervised1,embed_scaled_supervised2,embed_scaled1,embed_scaled2,embed_pca1,embed_pca2,day
10,04_03,04_03_02,aversive,13.114814814814816,6.3852,0.2172631765156132,1.3730000000000002,1.020199999999999,11.48473282442748,-0.0021588639554026706,0.02643878195249849,0.04991778031479524,0.0219088317957555,-0.2602486128989932,-0.6978679440194671,0.12085893801901477,0.9582887542590564,0.6328549923002417,-1.0897598138355011,1.8195026126185705,1.5854711844218643,1.4745563118242069,-1.1961877358505313,14.419035,17.5543,-1.6217718,2.1402314,-14.478605,8.230395,6.496747,15.921767,-5.1082432553394295,-5.230378695385286,2
11,04_03,04_03_03,aversive,19.652173913043477,5.0216,0.16379915376406873,0.5733999999999999,0.34639999999999915,34.84014869888476,-0.02108441033274299,-0.009050683633269854,-0.015179804126234979,0.025311021901694587,0.5586231864319762,-1.144929199590069,-0.35472937418410166,-0.5467238529221331,-0.42972058828495086,2.6592842579233773,1.2750476619974256,-0.005662884305344253,0.05249528720665828,-1.173219795372993,12.246351,22.57179,6.430906,-1.329941,-15.958638,10.007927,6.6508555,18.39285,13.58586724243729,9.691674436881602,3+
12,05_08,05_08_01,affiliative,6.313211635465473,13.7319,0.26566025613364436,0.8298463454516838,1.3738008101118497,14.283077474435656,-0.09583077773113113,-0.01526185299246613,-0.037643763440524176,0.2985080874560105,-1.1122197147034156,1.710774565734523,0.551374343080531,-0.06403878167360061,1.1904797861559764,-0.640565610775946,-0.8752749210126477,-0.28413434086102846,-0.4382313852766051,0.6711139264069871,-3.3837004,0.49636802,-0.2631598,1.696676,21.145372,2.2631729,1.4717325,8.443477,-10.402736791468755,3.0137750180470015,1
13,05_08,05_08_02,affiliative,7.296386843234825,13.2477,0.16332780229115343,0.8214476534949053,1.294357158017661,14.756154376922726,-0.09268520814857299,-0.014555281422104572,-0.03552697715049343,0.28771229494725764,-0.9890668575103888,1.5520278218600105,-0.35892227325755877,-0.07984685730989727,1.0651979744198667,-0.5646266437162802,-0.7847823720737384,-0.25245592364509845,-0.391990049191019,0.5982323083821627,-3.3120496,0.748534,-0.10386845,1.6645905,21.441471,1.9283706,1.370302,8.4927025,-9.250695980681511,2.7419100242475745,2
14,05_08,05_08_04,affiliative,7.476125305825236,13.1591,0.1447026546608132,0.8199228295589027,1.2798301228798952,14.842612475005819,-0.09210995903921194,-0.014426114253101344,-0.03513990759021174,0.2857384859362013,-0.9665527572355129,1.5229799872724812,-0.5246019597115957,-0.0827168913862049,1.042288991345226,-0.5507482687039793,-0.7682334588118723,-0.2466648450878463,-0.38353448912348576,0.5849072658453475,-3.6544194,0.8628865,0.17788765,1.6488515,21.611618,2.4758737,1.0111305,8.725937,-9.040086618557224,2.6921554930440155,3+
15,08_08,08_08_01,affiliative,12.732175555708052,10.0314,0.1458027589623891,0.845143161190034,0.8312484321643339,17.191934096875436,-0.0740070465174712,-0.010676631325255337,-0.023221549521827395,0.22680417254417073,-0.3081781351864141,0.4975520838930648,-0.514816000460732,-0.03524701011789195,0.33488033825532565,-0.1736318710996952,-0.2474442489994581,-0.078560594202783,-0.12317717122886124,0.18704595888609934,-2.6879907,2.9040344,1.5091687,-0.2501417,20.865442,4.215077,3.3034523,11.539277,-2.882231077920882,0.8825639389380392,1
16,08_08,08_08_02,affiliative,12.310138596442634,10.3846,0.041950913287039385,0.8298450464814713,0.8717870725447354,17.037318445826944,-0.07570419124606587,-0.010972426863072954,-0.024292498099553993,0.23176727578752543,-0.3610426266461971,0.6133499978469641,-1.4386283412089087,-0.06404122660424864,0.3988093518177173,-0.1984509919871307,-0.29626814189960077,-0.09182228608319927,-0.14657211352713018,0.22055151158236275,-2.799412,2.7355108,1.2762994,0.0038491392,21.217321,4.0787086,3.01754,11.492553,-3.3764991801844273,1.0952918933519822,2
17,08_12,08_12_01,affiliative,15.192476591330564,8.51379583917726,0.2036766251934342,0.8638695885673116,0.618894246693432,18.27360837996569,-0.06540575158039193,-0.008924375774227231,-0.017582877083396297,0.19909746931143996,1.1125352756954197e-15,-5.82385097509315e-16,-2.4689925452498057e-16,-8.358677583009966e-16,-1.225567100740705e-15,5.702865762596146e-16,3.992397432013372e-16,2.333236843854682e-16,3.7895148719540616e-16,-7.49503571298661e-16,-2.4954169,3.9985483,1.9757766,-0.9764747,20.509415,4.3435707,3.2231438,12.51856,9.514140464928777e-15,-2.012175616589146e-15,1
18,08_12,08_12_02,affiliative,15.192476591330564,8.51379583917726,0.2036766251934342,0.8638695885673116,0.618894246693432,18.27360837996569,-0.06540575158039193,-0.008924375774227231,-0.017582877083396297,0.19909746931143996,1.1125352756954197e-15,-5.82385097509315e-16,-2.4689925452498057e-16,-8.358677583009966e-16,-1.225567100740705e-15,5.702865762596146e-16,3.992397432013372e-16,2.333236843854682e-16,3.7895148719540616e-16,-7.49503571298661e-16,-2.6499605,3.8046114,1.9087992,-1.009018,19.884775,4.4455304,3.2767467,12.720109,9.514140464928777e-15,-2.012175616589146e-15,2
19,09_11,09_11_01,affiliative,8.692855519866928,12.3552,0.22656374590461312,0.8361403872584012,1.172449443910201,15.359810447418704,-0.08772874367715215,-0.013562276873762,-0.03229173340385448,0.27191513829554437,-0.8141447214060842,1.2594184271718598,0.20359199607560602,-0.05219209299271614,0.8729507792647049,-0.46772692569630325,-0.642193536579197,-0.20793557538990978,-0.3213159362152827,0.4915868410822836,-3.1406825,1.0499761,0.11646669,1.2311264,21.260769,2.6024926,1.5419378,9.173558,-7.614752253354267,2.2204684274899074,1
20,09_11,09_11_02,affiliative,8.794803452149626,12.2949,0.22620473294880977,0.8365821508880971,1.163764844737178,15.40550108643625,-0.08737848612600102,-0.013489531646683511,-0.03206096984263086,0.2707728549842273,-0.8013746891205662,1.2396488512618369,0.20039840238545234,-0.05136060245734051,0.8592552568419912,-0.46039260031908136,-0.6321172379131252,-0.20467411717318487,-0.3162748910039151,0.4838753686818977,-3.4951344,1.259382,0.2500413,1.3207479,21.628416,2.8283002,1.794632,9.04114,-7.495311659941968,2.1856111446703816,2
21,09_11,09_11_03,affiliative,6.593539640672551,13.5969,0.23395655497958845,0.8270435730130705,1.3512830557367739,14.418946990236554,-0.09494126111105518,-0.015060249485094622,-0.03704362584119041,0.29543708170619765,-1.0771057344894512,1.6665143211598448,0.2693546044514569,-0.06931417919132563,1.1549695220886405,-0.6187556457774981,-0.849685079757655,-0.27509565279798986,-0.4251213398463759,0.6503817876753069,-3.5748844,0.56458503,-0.17434366,1.7587898,21.334364,2.101482,1.072244,8.410889,-10.074277706754733,2.9382509826641,3+
22,09_11,09_11_04,aversive,6.8970164871857165,13.4174,0.23288785140468463,0.8283586073668081,1.3254308907026515,14.554958096433062,-0.09389862047371475,-0.014843702747771427,-0.03635669285214168,0.29203675244614097,-1.0390921226279184,1.6076645885586989,0.2598479698348303,-0.06683901250641888,1.1142009271487223,-0.5969229524904113,-0.8196901276754018,-0.26538700022913214,-0.41011524340457717,0.6274264096343561,-4.8336477,0.3494773,0.04766181,1.5071081,4.8931108,11.121309,1.0077033,8.238372,-9.718729008288607,2.834488424353909,3+
23,10_13,10_13_01,aversive,29.67816091954023,6.8712,0.15024607879593724,0.46609999999999996,0.11120000000000019,30.42265193370166,-0.014433040145767555,-0.0009390239022565778,0.0012794004064037622,0.004231827714652692,1.8144816908704833,-0.5385310635506254,-0.47529052386058684,-0.7486846492584781,-0.8006285380528881,1.9501814892744942,1.4663959778932645,0.35801512377132705,0.4120476955341404,-1.3155239178137978,12.55408,22.993578,6.5136952,-1.3880084,-16.337948,9.868208,6.462108,18.25827,18.811123892355482,2.3209660010427973,1
24,10_13,10_13_02,aversive,25.803030303030305,7.0793,0.16291859954033833,0.33339999999999925,0.33859999999999957,28.049261083743843,0.0078048753797760086,-0.0004001925291747025,0.0007745844877673838,0.0040574436998474205,1.3290815265374856,-0.4703047161729177,-0.3625623294223075,-0.9984534998999799,-0.4420211070272543,1.5692014654620141,2.1061420099482993,0.3821730799664589,0.4010199585042111,-1.3167011717436383,12.501857,22.883677,6.3983684,-1.6662868,-16.336763,10.051374,6.119247,17.937534,14.318404805373678,2.3100179329965154,2
